Дата,Ссылка на пост,Ссылка на пользователя
2017-10-09,https://vk.com/ntv_plus?w=wall-49381792_7461,https://vk.com/id15968561
2017-10-09,https://vk.com/ntv_plus?w=wall-49381792_7461,https://vk.com/id226577871
2017-10-09,https://vk.com/ntv_plus?w=wall-49381792_7461,https://vk.com/id414573195
2017-10-09,https://vk.com/ntv_plus?w=wall-49381792_7461,https://vk.com/id147385708
2017-10-09,https://vk.com/ntv_plus?w=wall-49381792_7461,https://vk.com/id421436790
2017-10-09,https://vk.com/ntv_plus?w=wall-49381792_7458,https://vk.com/id15968561
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7444,https://vk.com/id423516834
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7444,https://vk.com/id365357670
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7444,https://vk.com/id147385708
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7444,https://vk.com/id48914999
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7444,https://vk.com/id297323241
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7444,https://vk.com/id15968561
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7444,https://vk.com/id385160849
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7437,https://vk.com/id2719700
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7437,https://vk.com/id407016239
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7437,https://vk.com/id158582894
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7437,https://vk.com/id128139420
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7437,https://vk.com/id155643087
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7437,https://vk.com/id143803913
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7437,https://vk.com/id15968561
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7437,https://vk.com/id195080681
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7437,https://vk.com/id334179436
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7437,https://vk.com/id18321810
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7437,https://vk.com/id385160849
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7435,https://vk.com/id365357670
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7435,https://vk.com/id385160849
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7435,https://vk.com/id414573195
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7435,https://vk.com/id191501930
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7435,https://vk.com/id350470047
2017-10-08,https://vk.com/ntv_plus?w=wall-49381792_7435,https://vk.com/id15968561
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7426,https://vk.com/id278171655
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7426,https://vk.com/id173082127
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7426,https://vk.com/id447700060
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7426,https://vk.com/id350470047
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7426,https://vk.com/id297323241
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7426,https://vk.com/id423516834
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7426,https://vk.com/id405531273
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7426,https://vk.com/id255887730
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7423,https://vk.com/id88905522
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7423,https://vk.com/id48914999
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7423,https://vk.com/id173082127
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7423,https://vk.com/id297323241
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7423,https://vk.com/id278252193
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7423,https://vk.com/id423516834
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7423,https://vk.com/id290455926
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7423,https://vk.com/id15968561
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7414,https://vk.com/id278171655
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7414,https://vk.com/id385160849
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7414,https://vk.com/id173082127
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7414,https://vk.com/id423516834
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7414,https://vk.com/id350470047
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7414,https://vk.com/id155643087
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7414,https://vk.com/id5220697
2017-10-07,https://vk.com/ntv_plus?w=wall-49381792_7414,https://vk.com/id27349004
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7410,https://vk.com/id237549589
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7410,https://vk.com/id366846821
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7410,https://vk.com/id385160849
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7410,https://vk.com/id9850745
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7410,https://vk.com/id1053163
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7410,https://vk.com/id278252193
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7410,https://vk.com/id15968561
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7410,https://vk.com/id350470047
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7410,https://vk.com/id155643087
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7410,https://vk.com/id423516834
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7391,https://vk.com/id278171655
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7391,https://vk.com/id385160849
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7391,https://vk.com/id350470047
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7391,https://vk.com/id423516834
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7391,https://vk.com/id173082127
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7391,https://vk.com/id15968561
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7391,https://vk.com/id168193318
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7378,https://vk.com/id278171655
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7378,https://vk.com/id9850745
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7378,https://vk.com/id423516834
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7378,https://vk.com/id168193318
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7378,https://vk.com/id407016239
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7378,https://vk.com/id350470047
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7378,https://vk.com/id347932537
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7378,https://vk.com/id15968561
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7378,https://vk.com/id155643087
2017-10-06,https://vk.com/ntv_plus?w=wall-49381792_7378,https://vk.com/id385160849
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7364,https://vk.com/id388301002
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7364,https://vk.com/id168193318
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7364,https://vk.com/id30463914
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7364,https://vk.com/id375264508
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7364,https://vk.com/id423516834
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7364,https://vk.com/id173082127
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7364,https://vk.com/id15968561
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id2719700
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id109186035
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id377030634
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id165576377
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id159113220
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id269014701
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id352455108
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id180272775
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id309335327
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id273338479
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id42616723
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id375264508
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id423516834
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id168193318
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id128139420
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id407016239
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id189554073
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id48914999
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id173082127
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id334179436
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id15968561
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7361,https://vk.com/id338620001
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7360,https://vk.com/id278171655
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7360,https://vk.com/id88424052
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7360,https://vk.com/id435514826
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7360,https://vk.com/id430529151
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7360,https://vk.com/id174829989
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7360,https://vk.com/id278252193
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7360,https://vk.com/id273338479
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7360,https://vk.com/id375264508
2017-10-05,https://vk.com/ntv_plus?w=wall-49381792_7360,https://vk.com/id423516834
